predateurs initiales = 5 proies initiales = 15 nr_proie = 10 nr_pred = 10 faim predateurs = 5 nb_iterations = 100
predateurs;proies
5;15
5;10
5;9
5;7
5;6
4;4
3;4
2;3
2;3
1;3
2;6
1;6
1;6
1;6
1;6
1;5
1;5
1;5
1;5
0;5
0;10
0;10
0;10
0;10
0;10
0;10
0;10
0;10
0;10
0;10
0;20
0;20
0;20
0;20
0;20
0;20
0;20
0;20
0;20
0;20
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
0;25
